x,y,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On
-87.6726424,41.999160767,8640305,HV315098,05/31/2012 06:00:00 PM,017XX W SCHREIBER AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,2432,024,40,1,06,1163837,1942977,2012,02/04/2016 06:33:39 AM
-87.629428651,41.664688023,5681420,HN491043,07/26/2007 12:00:00 PM,126XX S PRINCETON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0523,005,9,53,14,1176582,1821190,2007,02/28/2018 03:56:25 PM
-87.724031146,41.914484227,3174852,HK177497,02/10/2004 02:35:00 PM,018XX N SPRINGFIELD AVE,0560,ASSAULT,SIMPLE,SCHOOL, PUBLIC, GROUNDS,false,false,2535,025,30,20,08A,1150088,1912017,2004,02/28/2018 03:56:25 PM
-87.673188137,42.009004561,10786900,HZ555652,12/18/2016 01:44:00 AM,017XX W LUNT AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,2431,024,49,1,04B,1163661,1946563,2016,02/10/2018 03:50:01 PM
-87.745202954,41.965082806,4817440,HM428689,06/21/2006 05:30:18 PM,046XX N KILPATRICK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,false,false,1722,017,45,16,14,1144199,1930415,2006,02/28/2018 03:56:25 PM
-87.657089765,41.880012363,6359731,HP447253,07/11/2008 11:00:00 PM,001XX S RACINE AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,POLICE FACILITY/VEH PARKING LOT,true,false,1213,012,27,28,08B,1168407,1899592,2008,02/28/2018 03:56:25 PM
-87.631051919,41.774517358,6559198,HP631726,10/16/2008 09:01:00 PM,002XX W 66TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0722,007,20,68,04A,1175812,1861207,2008,02/28/2018 03:56:25 PM
-87.72095459,41.903864138,1488853,G227610,04/21/2001 05:21:42 PM,037XX W GRAND AV,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,2535,025,,,05,1150953,1908153,2001,08/17/2015 03:03:40 PM
-87.702390243,41.815228411,5777646,HN586678,09/01/2007 01:00:00 AM,043XX S ARCHER AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,0912,009,14,58,03,1156244,1875891,2007,02/28/2018 03:56:25 PM
-87.690962126,41.975878709,10641653,HZ392882,08/15/2016 12:10:00 PM,024XX W FOSTER AVE,0460,BATTERY,SIMPLE,STREET,false,false,2031,020,40,4,08B,1158921,1934455,2016,02/10/2018 03:50:01 PM
-87.561224349,41.742125685,5452263,HN282300,04/14/2007 01:00:00 AM,084XX S COLFAX AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0423,004,7,46,04B,1194965,1849567,2007,02/28/2018 03:56:25 PM
-87.630937377,41.779975054,3972662,HL333791,05/03/2005 10:00:00 PM,002XX W 63RD ST,031A,ROBBERY,ARMED: HANDGUN,CTA TRAIN,false,false,0711,007,20,68,03,1175827,1863196,2005,02/28/2018 03:56:25 PM
-87.714138041,41.871774809,4866736,HM446068,06/30/2006 12:00:00 PM,035XX W LEXINGTON ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,1133,011,24,27,15,1152893,1896473,2006,02/28/2018 03:56:25 PM
-87.575864917,41.736962302,1759231,G564937,09/20/2001 04:40:06 PM,087XX S JEFFERY BL,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,true,false,0412,004,,,03,1190986,1847650,2001,08/17/2015 03:03:40 PM
-87.614909768,41.794925605,1752964,G554610,09/15/2001 09:01:40 PM,004XX E GARFIELD DR,041A,BATTERY,AGGRAVATED: HANDGUN,PARK PROPERTY,false,false,0234,002,,,04B,1180153,1868680,2001,08/17/2015 03:03:40 PM
-87.697842267,41.851869521,6103591,HP189692,02/22/2008 11:47:10 PM,028XX W CERMAK RD,2022,NARCOTICS,POSS: COCAINE,SIDEWALK,true,false,1023,010,12,30,18,1157385,1889252,2008,02/10/2018 03:50:01 PM
-87.634726921,41.787204663,9032219,HW180158,03/01/2013 09:00:00 AM,003XX W 59TH ST,0810,THEFT,OVER $500,OTHER,false,false,0711,007,20,68,06,1174772,1865822,2013,02/10/2018 03:50:01 PM
-87.618284096,41.814013901,2969289,HJ657977,09/27/2003 01:30:00 PM,044XX S CALUMET AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0222,002,3,38,14,1179175,1875628,2003,02/28/2018 03:56:25 PM
-87.618383884,41.830106919,11141009,JA499885,11/05/2017 11:45:00 AM,035XX S CALUMET AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0212,002,2,35,08B,1179099,1881492,2017,02/10/2018 03:50:01 PM
-87.589224482,41.731168542,2911363,HJ586557,08/23/2003 02:00:00 PM,090XX S DANTE AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,0413,004,8,48,06,1187358,1845507,2003,02/10/2018 03:50:01 PM
-87.699937285,41.749165252,8936442,HV608302,12/18/2012 09:22:00 PM,079XX S ALBANY AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0835,008,18,70,15,1157090,1851823,2012,02/10/2018 03:50:01 PM
-87.762387059,41.926588569,8176034,HT410420,07/16/2011 01:00:00 PM,025XX N LOTUS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,2515,025,30,19,14,1139619,1916356,2011,02/10/2018 03:50:01 PM
-87.719348948,41.921533913,4837148,HM449849,07/01/2006 09:00:00 PM,022XX N LAWNDALE AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,2525,025,26,22,06,1151344,1914595,2006,02/28/2018 03:56:25 PM
-87.552726675,41.741854212,4903674,HM516618,08/03/2006 06:00:00 AM,084XX S EXCHANGE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0423,004,10,46,07,1197285,1849489,2006,02/28/2018 03:56:25 PM
-87.665552641,41.804956896,10664125,HZ414548,08/31/2016 09:40:00 AM,016XX W 49TH ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0931,009,20,61,08B,1166315,1872224,2016,02/10/2018 03:50:01 PM
-87.758659031,41.902217636,8374460,HT608427,11/28/2011 11:00:00 AM,053XX W DIVISION ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,true,false,2532,025,37,25,18,1140693,1907482,2011,02/10/2018 03:50:01 PM
-87.530450195,41.707284327,3829070,HL193212,02/21/2005 06:21:49 AM,103XX S AVENUE F,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,0432,004,10,52,14,1203482,1836948,2005,02/28/2018 03:56:25 PM
-87.602144255,41.77426566,10890367,JA201044,03/26/2017 11:00:00 AM,066XX S INGLESIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0321,003,5,42,08B,1183698,1861181,2017,02/10/2018 03:50:01 PM
-87.660639646,41.782334526,7403893,HS206116,03/13/2010 02:00:00 PM,061XX S BISHOP ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0713,007,16,67,05,1167719,1863991,2010,02/10/2018 03:50:01 PM
-87.721161173,41.894543058,9728140,HX365565,07/29/2014 04:11:00 PM,007XX N HAMLIN AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1112,011,27,23,18,1150921,1904756,2014,02/10/2018 03:50:01 PM
-87.627666954,41.877864969,6521709,HP595607,09/26/2008 10:00:00 PM,003XX S STATE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,CTA TRAIN,false,false,0123,001,2,32,11,1176426,1898874,2008,02/28/2018 03:56:25 PM
-87.731210524,41.863616358,3956235,HL227167,03/10/2005 08:30:00 PM,013XX S TRIPP AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,true,false,1011,010,24,29,18,1148264,1893467,2005,02/28/2018 03:56:25 PM
-87.63565752,41.683343609,5704421,HN501719,08/01/2007 03:15:00 AM,005XX W 116TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0524,005,34,53,08B,1174825,1827974,2007,02/28/2018 03:56:25 PM
-87.639360546,41.934659486,6646385,HP718319,12/04/2008 05:00:00 PM,029XX N SHERIDAN RD,0560,ASSAULT,SIMPLE,HOSPITAL BUILDING/GROUNDS,false,true,2333,019,44,6,08A,1173074,1919544,2008,02/28/2018 03:56:25 PM
-87.713392978,41.837917598,8355824,HT586973,11/12/2011 09:00:00 PM,030XX S DRAKE AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,1032,010,22,30,05,1153185,1884137,2011,02/04/2016 06:33:39 AM
-87.696941327,41.968546569,2881673,HJ551121,08/08/2003 03:00:00 PM,027XX W LAWRENCE AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1911,019,47,4,06,1157315,1931771,2003,02/28/2018 03:56:25 PM
-87.68484596,41.778692079,9719900,HX369531,07/31/2014 10:00:00 AM,063XX S ARTESIAN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,0825,008,15,66,05,1161127,1862613,2014,02/10/2018 03:50:01 PM
-87.726376298,41.855004126,10039955,HY229570,04/20/2015 05:02:00 PM,040XX W 19TH ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),VEHICLE NON-COMMERCIAL,true,false,1012,010,24,29,18,1149603,1890338,2015,02/10/2018 03:50:01 PM
-87.676004303,41.760595326,1432256,G156752,03/19/2001 08:00:00 AM,073XX S HOYNE AV,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,SCHOOL, PUBLIC, GROUNDS,false,false,0735,007,,,04A,1163589,1856037,2001,08/17/2015 03:03:40 PM
